employee_id,transaction_id,edge_timestamp
emp_000041,txn_002137,2025-01-28T13:43:02
emp_000597,txn_016117,2025-10-21T13:08:35
emp_000246,txn_060872,2025-07-25T14:08:38
emp_000488,txn_034320,2025-02-19T12:19:37
emp_000005,txn_041816,2025-04-29T15:06:31
emp_000554,txn_046872,2025-05-05T17:36:35
emp_000429,txn_065546,2025-07-28T12:26:01
emp_000515,txn_043727,2025-11-21T11:17:21
emp_000102,txn_030069,2025-11-05T14:14:10
emp_000102,txn_027858,2025-09-11T11:33:37
emp_000484,txn_055112,2025-03-29T10:32:59
emp_000480,txn_014590,2025-08-20T14:19:05
emp_000549,txn_058243,2025-10-20T11:59:36
emp_000066,txn_047122,2025-12-24T18:17:45
emp_000381,txn_022599,2025-08-15T10:44:12
emp_000549,txn_051090,2025-11-17T14:26:01
emp_000412,txn_063063,2025-01-15T15:54:38
emp_000405,txn_020565,2025-02-28T11:50:47
emp_000341,txn_061440,2025-11-18T14:11:41
emp_000536,txn_056524,2025-12-12T09:33:05
emp_000102,txn_014210,2025-04-04T15:13:56
emp_000139,txn_026881,2025-12-11T15:27:58
emp_000326,txn_004641,2025-03-05T13:16:23
emp_000252,txn_034371,2025-04-04T18:06:05
emp_000295,txn_007565,2025-04-15T10:38:47
emp_000005,txn_050627,2025-04-01T18:37:24
emp_000373,txn_013532,2025-01-22T14:00:11
emp_000594,txn_011967,2025-08-25T09:50:35
emp_000372,txn_025587,2025-11-26T18:50:56
emp_000212,txn_014380,2025-07-08T14:24:00
emp_000594,txn_058430,2025-12-25T12:07:30
emp_000554,txn_064063,2025-10-20T11:16:53
emp_000580,txn_042457,2025-05-04T09:14:43
emp_000447,txn_077326,2025-04-01T13:26:51
emp_000224,txn_031454,2025-09-22T11:30:35
emp_000549,txn_026590,2025-01-24T09:32:57
emp_000405,txn_048465,2025-02-17T18:01:33
emp_000361,txn_036068,2025-09-24T14:21:09
emp_000536,txn_076917,2025-12-17T15:33:48
emp_000138,txn_076741,2025-02-27T17:00:29
emp_000224,txn_073245,2025-08-18T15:49:27
emp_000252,txn_015076,2025-03-13T09:16:41
emp_000571,txn_067677,2025-10-18T18:27:51
emp_000224,txn_012773,2025-10-19T14:22:17
emp_000559,txn_012266,2025-07-23T11:57:38
emp_000594,txn_064378,2025-09-04T11:17:06
emp_000412,txn_056342,2025-07-11T16:41:48
emp_000252,txn_059877,2025-02-06T14:46:00
emp_000554,txn_053204,2025-07-28T18:49:57
emp_000412,txn_056082,2025-01-20T10:05:33
emp_000484,txn_075033,2025-06-20T18:43:18
emp_000041,txn_072922,2025-08-12T17:48:36
emp_000559,txn_041447,2025-12-31T16:29:07
emp_000246,txn_006755,2025-09-30T11:58:01
emp_000513,txn_003251,2025-11-20T13:01:50
emp_000252,txn_070634,2025-03-10T15:16:17
emp_000246,txn_064895,2025-03-31T12:02:05
emp_000139,txn_031606,2025-02-03T09:34:23
emp_000539,txn_071109,2025-10-27T10:35:27
emp_000488,txn_001852,2025-02-19T15:43:44
emp_000469,txn_046275,2025-04-02T16:28:49
emp_000539,txn_028340,2025-05-05T18:16:02
emp_000597,txn_005193,2025-09-15T12:43:01
emp_000181,txn_041861,2025-09-22T09:56:04
emp_000181,txn_071744,2025-10-21T11:11:16
emp_000139,txn_061046,2025-04-01T09:08:01
emp_000457,txn_065216,2025-12-11T11:58:07
emp_000429,txn_007329,2025-10-02T09:26:45
emp_000549,txn_065409,2025-12-21T10:22:01
emp_000093,txn_062239,2025-12-05T18:24:34
emp_000121,txn_007045,2025-05-19T09:46:37
emp_000315,txn_049745,2025-07-04T15:53:44
emp_000513,txn_053019,2025-08-24T11:05:40
emp_000381,txn_075014,2025-11-13T10:16:39
emp_000469,txn_071188,2025-07-16T15:47:40
emp_000295,txn_019935,2025-07-07T15:13:21
emp_000058,txn_052498,2025-10-20T10:09:04
emp_000368,txn_049956,2025-11-05T12:01:47
emp_000488,txn_067766,2025-11-04T09:40:21
emp_000341,txn_065111,2025-11-26T11:41:31
emp_000341,txn_031564,2025-04-30T16:07:59
emp_000093,txn_052927,2025-12-03T13:22:09
emp_000333,txn_072698,2025-10-29T11:24:29
emp_000121,txn_017513,2025-08-08T12:49:06
emp_000469,txn_014171,2025-11-20T09:17:00
emp_000212,txn_027282,2025-07-15T18:40:25
emp_000032,txn_049853,2025-06-23T11:41:30
emp_000212,txn_068289,2025-07-28T10:28:05
emp_000361,txn_068273,2025-10-23T16:00:23
emp_000515,txn_072993,2025-06-23T13:47:17
emp_000457,txn_009393,2025-10-09T16:36:13
emp_000554,txn_058986,2025-02-19T11:01:44
emp_000292,txn_070567,2025-01-13T10:26:16
emp_000405,txn_009431,2025-02-10T10:59:39
emp_000597,txn_009232,2025-02-20T09:37:24
emp_000594,txn_057505,2025-02-24T11:25:13
emp_000429,txn_043096,2025-06-20T14:35:30
emp_000549,txn_056891,2025-06-27T18:33:32
emp_000597,txn_026980,2025-01-13T18:05:29
emp_000361,txn_053857,2025-06-10T17:05:46
emp_000405,txn_053628,2025-12-23T11:20:42
emp_000121,txn_031252,2025-05-24T09:39:33
emp_000309,txn_040092,2025-02-28T17:25:04
emp_000361,txn_042700,2025-01-13T09:20:05
emp_000554,txn_007283,2025-06-23T15:15:31
emp_000484,txn_033981,2025-06-04T16:37:00
emp_000309,txn_074276,2025-09-03T13:19:29
emp_000295,txn_035604,2025-04-16T14:08:22
emp_000309,txn_008215,2025-07-28T15:55:51
emp_000405,txn_000973,2025-02-07T17:52:42
emp_000281,txn_058506,2025-04-19T11:53:06
emp_000341,txn_069835,2025-11-17T13:29:40
emp_000326,txn_052931,2025-06-19T15:01:06
emp_000412,txn_047292,2025-08-08T15:36:00
emp_000554,txn_017883,2025-05-30T14:14:27
