employee_id,account_id,edge_timestamp
emp_000350,acct_014272,2025-09-30T11:03:20
emp_000584,acct_012146,2025-10-14T16:43:18
emp_000584,acct_013931,2025-07-09T13:45:21
emp_000143,acct_001447,2025-05-19T18:33:32
emp_000567,acct_001749,2025-10-27T18:15:26
emp_000584,acct_012014,2025-04-29T09:24:53
emp_000417,acct_014315,2025-06-27T15:05:56
emp_000105,acct_013392,2025-09-15T10:05:01
emp_000378,acct_005354,2025-09-26T14:05:52
emp_000544,acct_010680,2025-11-27T18:10:25
emp_000428,acct_014370,2025-06-19T10:33:52
emp_000013,acct_013117,2025-08-01T15:31:25
emp_000519,acct_004327,2025-05-26T17:31:30
emp_000163,acct_018526,2025-11-10T09:45:48
emp_000342,acct_008355,2025-09-10T14:11:38
emp_000248,acct_017034,2025-09-01T15:16:47
emp_000460,acct_007875,2025-12-29T17:02:57
emp_000290,acct_008160,2025-03-28T16:24:17
emp_000415,acct_002316,2025-07-07T09:54:46
emp_000186,acct_016700,2025-08-09T14:56:42
emp_000076,acct_003416,2025-08-11T10:51:37
emp_000332,acct_011675,2025-10-06T18:10:20
emp_000369,acct_019391,2025-06-01T12:17:40
emp_000160,acct_011272,2025-09-29T16:10:52
emp_000581,acct_013011,2025-12-08T13:33:45
emp_000137,acct_005243,2025-01-03T14:26:05
emp_000383,acct_017018,2025-11-03T14:25:17
emp_000067,acct_017047,2025-12-18T13:15:07
emp_000540,acct_009288,2025-10-24T14:01:57
emp_000406,acct_020079,2025-05-08T10:30:26
emp_000155,acct_003577,2025-12-22T14:01:48
emp_000026,acct_018676,2025-05-07T12:27:01
emp_000290,acct_009010,2025-03-11T09:20:30
emp_000470,acct_016161,2025-02-11T16:21:21
emp_000156,acct_003913,2025-06-20T11:40:22
emp_000114,acct_018889,2025-01-13T13:50:08
emp_000167,acct_004418,2025-03-14T12:04:16
emp_000258,acct_002685,2025-07-28T13:36:52
emp_000082,acct_004554,2025-08-13T14:23:37
emp_000345,acct_003330,2025-09-15T11:23:33
emp_000436,acct_012313,2025-04-04T10:35:49
emp_000186,acct_010635,2025-07-11T14:26:58
emp_000047,acct_000183,2025-08-15T18:30:14
emp_000528,acct_018403,2025-10-24T16:48:31
emp_000592,acct_015013,2025-12-17T09:22:39
emp_000436,acct_013094,2025-03-31T15:51:13
