employee_id,case_id,edge_timestamp
emp_000009,case_000001,2025-11-21T15:44:50
emp_000033,case_000002,2025-11-03T14:38:58
emp_000009,case_000003,2025-08-25T14:02:46
emp_000012,case_000004,2025-05-01T12:36:15
emp_000012,case_000005,2025-09-15T15:52:21
emp_000016,case_000006,2025-07-28T14:09:05
emp_000012,case_000007,2025-11-24T16:43:35
emp_000012,case_000008,2025-12-03T14:21:49
emp_000012,case_000009,2025-09-22T12:31:52
emp_000009,case_000010,2025-03-07T12:43:42
emp_000016,case_000011,2025-11-17T16:19:57
emp_000033,case_000012,2025-03-05T10:45:28
emp_000016,case_000013,2025-07-14T12:27:23
emp_000012,case_000014,2025-08-22T11:17:00
emp_000033,case_000015,2025-02-12T12:09:54
emp_000009,case_000016,2025-02-10T10:29:07
emp_000009,case_000017,2025-02-10T17:55:38
emp_000009,case_000018,2025-02-23T18:41:25
emp_000033,case_000019,2025-11-21T10:30:15
emp_000016,case_000020,2025-06-26T14:19:20
emp_000016,case_000021,2025-10-28T10:26:50
emp_000033,case_000022,2025-04-10T09:44:12
emp_000033,case_000023,2025-01-10T09:28:59
emp_000016,case_000024,2025-02-02T10:26:23
emp_000033,case_000025,2025-11-11T15:54:51
emp_000009,case_000026,2025-05-16T10:19:50
emp_000033,case_000027,2025-10-27T14:13:22
emp_000012,case_000028,2025-02-10T13:02:56
emp_000016,case_000029,2025-07-07T12:09:58
emp_000009,case_000030,2025-08-08T13:48:15
emp_000009,case_000031,2025-03-24T14:03:59
emp_000012,case_000032,2025-07-21T18:14:08
emp_000009,case_000033,2025-12-22T18:10:45
emp_000012,case_000034,2025-01-14T15:11:55
emp_000012,case_000035,2025-07-07T16:36:05
emp_000033,case_000036,2025-09-09T18:51:05
emp_000016,case_000037,2025-03-04T12:46:13
emp_000033,case_000038,2025-12-31T17:54:29
emp_000009,case_000039,2025-12-22T13:06:17
emp_000033,case_000040,2025-03-26T17:42:39
emp_000033,case_000041,2025-03-24T10:25:12
emp_000033,case_000042,2025-11-26T16:56:14
emp_000012,case_000043,2025-03-23T12:28:55
emp_000009,case_000044,2025-06-24T13:06:18
emp_000016,case_000045,2025-06-27T18:00:17
emp_000016,case_000046,2025-05-20T13:04:00
emp_000009,case_000047,2025-12-22T14:13:11
emp_000016,case_000048,2025-04-29T13:46:23
emp_000009,case_000049,2025-12-01T16:30:20
emp_000009,case_000050,2025-12-09T16:01:58
emp_000009,case_000051,2025-12-29T11:11:01
emp_000009,case_000052,2025-11-10T13:35:59
emp_000012,case_000053,2025-03-03T17:55:48
emp_000033,case_000054,2025-03-10T09:55:35
emp_000033,case_000055,2025-01-03T18:32:32
emp_000012,case_000056,2025-04-01T10:00:41
emp_000012,case_000057,2025-12-15T18:05:13
emp_000012,case_000058,2025-10-27T14:05:01
emp_000012,case_000059,2025-08-26T18:50:36
emp_000016,case_000060,2025-03-28T15:50:02
emp_000009,case_000061,2025-09-01T09:14:30
emp_000016,case_000062,2025-07-14T17:20:09
emp_000012,case_000063,2025-10-06T14:05:49
emp_000009,case_000064,2025-10-21T18:39:45
emp_000009,case_000065,2025-08-15T10:23:37
emp_000033,case_000066,2025-09-01T14:39:43
emp_000033,case_000067,2025-05-23T17:44:13
emp_000033,case_000068,2025-12-05T15:40:31
emp_000016,case_000069,2025-11-03T14:51:31
emp_000033,case_000070,2025-01-23T16:05:38
emp_000020,case_000071,2025-06-23T15:25:34
emp_000028,case_000072,2025-01-03T11:09:47
emp_000011,case_000073,2025-06-05T13:41:37
emp_000020,case_000074,2025-08-04T09:56:30
emp_000020,case_000075,2025-10-31T04:37:38
emp_000020,case_000076,2025-12-12T16:23:17
emp_000023,case_000077,2025-06-18T07:48:52
emp_000027,case_000078,2025-05-14T09:57:33
emp_000008,case_000079,2025-09-11T14:56:09
emp_000035,case_000080,2025-01-28T12:31:40
emp_000014,case_000081,2025-09-05T19:31:10
emp_000002,case_000082,2025-02-01T19:13:44
emp_000003,case_000083,2025-01-30T17:37:15
emp_000004,case_000084,2025-04-11T06:39:20
emp_000003,case_000085,2025-10-30T10:04:03
emp_000035,case_000086,2025-11-29T09:01:03
emp_000024,case_000087,2025-07-20T22:30:42
emp_000020,case_000088,2025-03-11T07:24:14
emp_000020,case_000089,2025-11-04T22:51:59
emp_000011,case_000090,2025-09-29T11:13:16
emp_000028,case_000091,2025-12-28T23:15:04
emp_000017,case_000092,2025-04-28T12:10:59
emp_000002,case_000093,2025-08-10T04:50:33
