employee_id,transaction_id,edge_timestamp
emp_000032,txn_001412,2025-11-13T11:13:00
emp_000005,txn_003830,2025-03-10T11:08:14
emp_000032,txn_000376,2025-07-26T13:14:13
emp_000005,txn_003015,2025-12-22T14:58:05
emp_000032,txn_002568,2025-03-23T10:04:20
emp_000005,txn_002514,2025-03-24T16:48:54
emp_000005,txn_003435,2025-11-12T18:13:46
emp_000005,txn_001728,2025-09-01T13:08:03
emp_000005,txn_002981,2025-02-17T16:58:48
emp_000005,txn_000308,2025-01-21T10:02:39
emp_000005,txn_000127,2025-12-15T13:25:02
emp_000005,txn_003362,2025-06-19T11:41:59
emp_000005,txn_001276,2025-10-27T14:52:24
emp_000032,txn_002191,2025-07-25T14:05:01
emp_000005,txn_002246,2025-11-03T16:43:40
emp_000005,txn_000555,2025-08-25T17:14:52
emp_000005,txn_003023,2025-11-04T09:10:21
emp_000005,txn_000743,2025-06-09T17:34:55
emp_000005,txn_002015,2025-07-29T18:52:46
emp_000032,txn_001462,2025-08-25T16:50:25
emp_000032,txn_001278,2025-04-21T18:10:35
emp_000005,txn_001050,2025-08-05T12:48:04
emp_000005,txn_003579,2025-12-02T13:21:43
emp_000005,txn_001062,2025-08-21T13:37:45
emp_000005,txn_000313,2025-07-28T17:16:43
emp_000032,txn_002229,2025-12-15T10:35:10
emp_000005,txn_000670,2025-04-21T13:43:17
emp_000032,txn_001141,2025-08-21T13:34:19
emp_000032,txn_003217,2025-12-08T18:50:55
emp_000032,txn_001234,2025-06-18T10:44:16
emp_000005,txn_000484,2025-11-19T14:29:08
emp_000005,txn_001052,2025-03-10T09:30:04
emp_000005,txn_000832,2025-10-24T10:17:14
emp_000005,txn_001806,2025-07-28T15:07:49
emp_000005,txn_000867,2025-11-04T14:20:16
emp_000032,txn_003031,2025-11-23T14:46:36
emp_000005,txn_003425,2025-04-17T16:11:53
emp_000005,txn_003376,2025-07-31T16:28:40
emp_000005,txn_000247,2025-11-14T16:35:01
emp_000005,txn_003494,2025-11-10T18:46:13
emp_000032,txn_001640,2025-10-14T15:10:03
emp_000032,txn_001408,2025-04-21T18:05:48
emp_000005,txn_002249,2025-03-24T18:52:05
emp_000005,txn_003619,2025-06-16T12:39:32
emp_000032,txn_002180,2025-11-23T14:00:23
emp_000005,txn_001603,2025-09-18T10:22:06
emp_000005,txn_001086,2025-08-01T11:29:32
